                ****************************************
                                VPA-2BOX                
                BOOTSTRAP ESTIMATES OF BIAS AND VARIANCE
                ****************************************


BFT East 55-06 test                               
12:14, 16 September 2010


 *************************************************
 BIAS AND STANDARD ERROR ESTIMATES
 *************************************************


TABLE 1A. BIAS OF FISHING MORTALITY RATE FOR EAST OF 45                                        
=============================================================================
        1      2      3      4      5      6      7      8      9     10
-----------------------------------------------------------------------------
  2009  0.234E-02  0.110E+00  0.501E-01  0.132E+00  0.665E-01  0.402E-01  0.527E-01  0.417E-01  0.258E-01  0.310E-01
====================================================================================================================     


TABLE 1C. BIAS OF ABUNDANCE (BY AREA) OF EAST OF 45                                        
====================================================================================================================     
            1          2          3          4          5          6          7          8          9         10
--------------------------------------------------------------------------------------------------------------------     
  1950 -0.792E+03 -0.256E+03 -0.364E+03 -0.191E+03 -0.121E+03 -0.145E+03 -0.886E+02 -0.362E+02 -0.228E+02 -0.263E+02
  1951 -0.709E+03 -0.480E+03 -0.200E+03 -0.286E+03 -0.151E+03 -0.950E+02 -0.119E+03 -0.746E+02 -0.309E+02 -0.430E+02
  1952 -0.123E+04 -0.434E+03 -0.378E+03 -0.157E+03 -0.225E+03 -0.119E+03 -0.784E+02 -0.101E+03 -0.647E+02 -0.629E+02
  1953 -0.116E+04 -0.751E+03 -0.341E+03 -0.297E+03 -0.124E+03 -0.177E+03 -0.982E+02 -0.648E+02 -0.873E+02 -0.106E+03
  1954 -0.134E+04 -0.714E+03 -0.591E+03 -0.268E+03 -0.234E+03 -0.968E+02 -0.146E+03 -0.816E+02 -0.564E+02 -0.170E+03
  1955 -0.834E+03 -0.819E+03 -0.561E+03 -0.465E+03 -0.211E+03 -0.184E+03 -0.792E+02 -0.123E+03 -0.700E+02 -0.201E+03
  1956 -0.397E+03 -0.511E+03 -0.640E+03 -0.439E+03 -0.366E+03 -0.166E+03 -0.151E+03 -0.670E+02 -0.106E+03 -0.243E+03
  1957 -0.254E+03 -0.243E+03 -0.402E+03 -0.504E+03 -0.345E+03 -0.288E+03 -0.136E+03 -0.125E+03 -0.582E+02 -0.317E+03
  1958 -0.495E+03 -0.156E+03 -0.193E+03 -0.317E+03 -0.397E+03 -0.270E+03 -0.234E+03 -0.114E+03 -0.108E+03 -0.363E+03
  1959 -0.467E+03 -0.303E+03 -0.123E+03 -0.151E+03 -0.248E+03 -0.314E+03 -0.220E+03 -0.196E+03 -0.983E+02 -0.442E+03
  1960 -0.413E+03 -0.286E+03 -0.239E+03 -0.970E+02 -0.119E+03 -0.196E+03 -0.257E+03 -0.185E+03 -0.169E+03 -0.499E+03
  1961 -0.586E+03 -0.253E+03 -0.224E+03 -0.187E+03 -0.759E+02 -0.944E+02 -0.160E+03 -0.214E+03 -0.160E+03 -0.606E+03
  1962 -0.143E+04 -0.359E+03 -0.199E+03 -0.175E+03 -0.146E+03 -0.591E+02 -0.769E+02 -0.135E+03 -0.184E+03 -0.695E+03
  1963 -0.181E+04 -0.877E+03 -0.281E+03 -0.158E+03 -0.137E+03 -0.116E+03 -0.487E+02 -0.648E+02 -0.116E+03 -0.778E+03
  1964 -0.118E+04 -0.111E+04 -0.690E+03 -0.222E+03 -0.124E+03 -0.108E+03 -0.945E+02 -0.407E+02 -0.559E+02 -0.762E+03
  1965 -0.291E+04 -0.724E+03 -0.872E+03 -0.542E+03 -0.175E+03 -0.973E+02 -0.891E+02 -0.791E+02 -0.350E+02 -0.762E+03
  1966 -0.190E+04 -0.178E+04 -0.566E+03 -0.685E+03 -0.425E+03 -0.137E+03 -0.796E+02 -0.748E+02 -0.683E+02 -0.714E+03
  1967 -0.807E+03 -0.117E+04 -0.140E+04 -0.446E+03 -0.540E+03 -0.333E+03 -0.113E+03 -0.668E+02 -0.642E+02 -0.774E+03
  1968 -0.707E+03 -0.492E+03 -0.914E+03 -0.110E+04 -0.351E+03 -0.425E+03 -0.273E+03 -0.947E+02 -0.576E+02 -0.788E+03
  1969 -0.728E+03 -0.434E+03 -0.386E+03 -0.720E+03 -0.869E+03 -0.275E+03 -0.348E+03 -0.229E+03 -0.812E+02 -0.756E+03
  1970 -0.471E+03 -0.445E+03 -0.341E+03 -0.303E+03 -0.568E+03 -0.685E+03 -0.225E+03 -0.292E+03 -0.197E+03 -0.803E+03
  1971 -0.145E+04 -0.289E+03 -0.349E+03 -0.268E+03 -0.237E+03 -0.446E+03 -0.561E+03 -0.189E+03 -0.251E+03 -0.846E+03
  1972 -0.888E+03 -0.888E+03 -0.226E+03 -0.275E+03 -0.210E+03 -0.187E+03 -0.366E+03 -0.471E+03 -0.163E+03 -0.859E+03
  1973 -0.144E+04 -0.544E+03 -0.697E+03 -0.177E+03 -0.216E+03 -0.165E+03 -0.153E+03 -0.307E+03 -0.405E+03 -0.962E+03
  1974 -0.103E+04 -0.884E+03 -0.429E+03 -0.548E+03 -0.139E+03 -0.170E+03 -0.135E+03 -0.129E+03 -0.264E+03 -0.132E+04
  1975 -0.120E+04 -0.634E+03 -0.696E+03 -0.337E+03 -0.431E+03 -0.109E+03 -0.139E+03 -0.113E+03 -0.111E+03 -0.134E+04
  1976 -0.219E+04 -0.733E+03 -0.499E+03 -0.547E+03 -0.264E+03 -0.339E+03 -0.895E+02 -0.117E+03 -0.974E+02 -0.132E+04
  1977 -0.609E+03 -0.134E+04 -0.574E+03 -0.390E+03 -0.431E+03 -0.207E+03 -0.276E+03 -0.751E+02 -0.101E+03 -0.131E+04
  1978 -0.639E+03 -0.373E+03 -0.105E+04 -0.451E+03 -0.306E+03 -0.339E+03 -0.170E+03 -0.232E+03 -0.649E+02 -0.122E+04
  1979 -0.825E+03 -0.393E+03 -0.293E+03 -0.827E+03 -0.355E+03 -0.241E+03 -0.277E+03 -0.142E+03 -0.200E+03 -0.109E+04
  1980 -0.817E+03 -0.505E+03 -0.309E+03 -0.232E+03 -0.651E+03 -0.279E+03 -0.197E+03 -0.233E+03 -0.123E+03 -0.110E+04
  1981 -0.975E+03 -0.504E+03 -0.395E+03 -0.243E+03 -0.182E+03 -0.512E+03 -0.228E+03 -0.165E+03 -0.200E+03 -0.102E+04
  1982 -0.237E+04 -0.600E+03 -0.398E+03 -0.311E+03 -0.191E+03 -0.143E+03 -0.419E+03 -0.191E+03 -0.142E+03 -0.112E+04
  1983 -0.204E+04 -0.144E+04 -0.469E+03 -0.311E+03 -0.245E+03 -0.150E+03 -0.118E+03 -0.352E+03 -0.165E+03 -0.115E+04
  1984 -0.163E+04 -0.124E+04 -0.113E+04 -0.369E+03 -0.245E+03 -0.192E+03 -0.123E+03 -0.988E+02 -0.303E+03 -0.119E+04
  1985 -0.140E+04 -0.997E+03 -0.968E+03 -0.894E+03 -0.291E+03 -0.192E+03 -0.157E+03 -0.103E+03 -0.851E+02 -0.134E+04
  1986 -0.174E+04 -0.856E+03 -0.782E+03 -0.758E+03 -0.702E+03 -0.229E+03 -0.158E+03 -0.132E+03 -0.892E+02 -0.128E+04
  1987 -0.273E+04 -0.107E+04 -0.673E+03 -0.614E+03 -0.597E+03 -0.553E+03 -0.188E+03 -0.133E+03 -0.114E+03 -0.120E+04
  1988 -0.318E+04 -0.167E+04 -0.836E+03 -0.528E+03 -0.482E+03 -0.468E+03 -0.452E+03 -0.158E+03 -0.114E+03 -0.121E+04
  1989 -0.731E+04 -0.194E+04 -0.131E+04 -0.656E+03 -0.415E+03 -0.380E+03 -0.384E+03 -0.380E+03 -0.136E+03 -0.117E+04
  1990 -0.574E+04 -0.447E+04 -0.152E+04 -0.103E+04 -0.515E+03 -0.326E+03 -0.310E+03 -0.322E+03 -0.327E+03 -0.117E+04
  1991 -0.171E+05 -0.352E+04 -0.351E+04 -0.119E+04 -0.809E+03 -0.404E+03 -0.267E+03 -0.260E+03 -0.278E+03 -0.135E+04
  1992 -0.136E+05 -0.105E+05 -0.276E+04 -0.276E+04 -0.940E+03 -0.637E+03 -0.331E+03 -0.224E+03 -0.224E+03 -0.145E+04
