 RUN #    SR_TYPE         PARM 1       PARM 2    STD. DEV.       RHO   
  309             1   2169733.0400         0.5000         0.4967         0.0000
  310             1   2169733.0400         0.5000         0.4967         0.0000
  311             1   2169733.0400         0.5000         0.4967         0.0000
  312             1   2169733.0400         0.5000         0.4967         0.0000
  313             1   2169733.0400         0.5000         0.4967         0.0000
  314             1   2169733.0400         0.5000         0.4967         0.0000
  315             1   2169733.0400         0.5000         0.4967         0.0000
  316             1   2169733.0400         0.5000         0.4967         0.0000
  317             1   2169733.0400         0.5000         0.4967         0.0000
  318             1   2169733.0400         0.5000         0.4967         0.0000
  319             1   2169733.0400         0.5000         0.4967         0.0000
  320             1   2169733.0400         0.5000         0.4967         0.0000
  321             1   2169733.0400         0.5000         0.4967         0.0000
  322             1   2169733.0400         0.5000         0.4967         0.0000
  323             1   2169733.0400         0.5000         0.4967         0.0000
  324             1   2169733.0400         0.5000         0.4967         0.0000
  325             1   2169733.0400         0.5000         0.4967         0.0000
  326             1   2169733.0400         0.5000         0.4967         0.0000
  327             1   2169733.0400         0.5000         0.4967         0.0000
  328             1   2169733.0400         0.5000         0.4967         0.0000
  329             1   2169733.0400         0.5000         0.4967         0.0000
  330             1   2169733.0400         0.5000         0.4967         0.0000
  331             1   2169733.0400         0.5000         0.4967         0.0000
  332             1   2169733.0400         0.5000         0.4967         0.0000
  333             1   2169733.0400         0.5000         0.4967         0.0000
  334             1   2169733.0400         0.5000         0.4967         0.0000
  335             1   2169733.0400         0.5000         0.4967         0.0000
  336             1   2169733.0400         0.5000         0.4967         0.0000
  337             1   2169733.0400         0.5000         0.4967         0.0000
  338             1   2169733.0400         0.5000         0.4967         0.0000
  339             1   2169733.0400         0.5000         0.4967         0.0000
  340             1   2169733.0400         0.5000         0.4967         0.0000
  341             1   2169733.0400         0.5000         0.4967         0.0000
  342             1   2169733.0400         0.5000         0.4967         0.0000
  343             1   2169733.0400         0.5000         0.4967         0.0000
  344             1   2169733.0400         0.5000         0.4967         0.0000
  345             1   2169733.0400         0.5000         0.4967         0.0000
  346             1   2169733.0400         0.5000         0.4967         0.0000
  347             1   2169733.0400         0.5000         0.4967         0.0000
  348             1   2169733.0400         0.5000         0.4967         0.0000
  349             1   2169733.0400         0.5000         0.4967         0.0000
  350             1   2169733.0400         0.5000         0.4967         0.0000
  351             1   2169733.0400         0.5000         0.4967         0.0000
  352             1   2169733.0400         0.5000         0.4967         0.0000
  353             1   2169733.0400         0.5000         0.4967         0.0000
  354             1   2169733.0400         0.5000         0.4967         0.0000
  355             1   2169733.0400         0.5000         0.4967         0.0000
  356             1   2169733.0400         0.5000         0.4967         0.0000
  357             1   2169733.0400         0.5000         0.4967         0.0000
  358             1   2169733.0400         0.5000         0.4967         0.0000
  359             1   2169733.0400         0.5000         0.4967         0.0000
  360             1   2169733.0400         0.5000         0.4967         0.0000
  361             1   2169733.0400         0.5000         0.4967         0.0000
  362             1   2169733.0400         0.5000         0.4967         0.0000
  363             1   2169733.0400         0.5000         0.4967         0.0000
  364             1   2169733.0400         0.5000         0.4967         0.0000
  365             1   2169733.0400         0.5000         0.4967         0.0000
  366             1   2169733.0400         0.5000         0.4967         0.0000
  367             1   2169733.0400         0.5000         0.4967         0.0000
  368             1   2169733.0400         0.5000         0.4967         0.0000
  369             1   2169733.0400         0.5000         0.4967         0.0000
  370             1   2169733.0400         0.5000         0.4967         0.0000
  371             1   2169733.0400         0.5000         0.4967         0.0000
  372             1   2169733.0400         0.5000         0.4967         0.0000
  373             1   2169733.0400         0.5000         0.4967         0.0000
  374             1   2169733.0400         0.5000         0.4967         0.0000
  375             1   2169733.0400         0.5000         0.4967         0.0000
